section,name,passed,answer,citation_count,conflict_count
base_known_eval,orchid_base_value,True,The default command for pulling remote worktrees is `orchid sync`. # Orchid CLI Manual v1 Orchid CLI is the workspace sync tool used in the local deployment stack.,2,0
base_known_eval,nova_base_value,True,The default cache mode in Nova Build is `local`.,1,1
base_known_eval,ruma_base_value,True,The default retrieval top_k in RUMA Agent is `2`.,1,0
base_known_eval,cinder_base_value,True,The default retry backoff mode is `fixed_30s`. # Cinder Queue Manual v1 Cinder Queue is the retry and queue manager used in the background job stack.,2,0
base_known_eval,helios_base_value,True,The default publish target is `internal`. # Helios Packager Manual v1 Helios Packager is the release packaging tool used in the internal delivery path.,2,0
base_known_eval,marlin_base_value,True,The default healthcheck command is `marlin probe`. # Marlin Proxy Manual v1 Marlin Proxy is the service-edge proxy used in the gateway layer.,2,0
base_known_eval,quartz_base_value,True,The default schedule mode is `steady`. # Quartz Scheduler Manual v1 Quartz Scheduler is the orchestration scheduler used for batch planning.,2,0
base_known_eval,atlas_base_value,True,The default alert mode in Atlas Monitor is `summary`.,1,0
base_known_eval,ember_base_value,True,The default queue class in Ember Runner is `standard`.,1,0
base_known_eval,lumen_base_value,True,The default eviction policy in Lumen Cache is `lru`.,1,0
base_known_eval,sable_base_value,True,The default rollout mode in Sable Deploy is `linear`.,1,0
base_known_eval,tidal_base_value,True,The default snapshot mode in Tidal Sync is `daily`.,1,0
no_update_future_eval,orchid_updated_value,False,The default command for pulling remote worktrees is `orchid sync`. # Orchid CLI Manual v1 Orchid CLI is the workspace sync tool used in the local deployment stack.,2,0
no_update_future_eval,nova_updated_value,False,The default cache mode in Nova Build is `local`.,1,1
no_update_future_eval,ruma_updated_value,False,The default retrieval top_k in RUMA Agent is `2`.,1,0
no_update_future_eval,cinder_updated_value,False,The default retry backoff mode is `fixed_30s`. # Cinder Queue Manual v1 Cinder Queue is the retry and queue manager used in the background job stack.,2,0
no_update_future_eval,helios_updated_value,False,The default publish target is `internal`. # Helios Packager Manual v1 Helios Packager is the release packaging tool used in the internal delivery path.,2,0
no_update_future_eval,marlin_updated_value,False,The default healthcheck command is `marlin probe`. # Marlin Proxy Manual v1 Marlin Proxy is the service-edge proxy used in the gateway layer.,2,0
no_update_future_eval,quartz_updated_value,False,The default schedule mode is `steady`. # Quartz Scheduler Manual v1 Quartz Scheduler is the orchestration scheduler used for batch planning.,2,0
no_update_future_eval,atlas_updated_value,False,The default alert mode in Atlas Monitor is `summary`.,1,0
no_update_future_eval,ember_updated_value,False,The default queue class in Ember Runner is `standard`.,1,0
no_update_future_eval,lumen_updated_value,False,The default eviction policy in Lumen Cache is `lru`.,1,0
no_update_future_eval,sable_updated_value,False,The default rollout mode in Sable Deploy is `linear`.,1,0
no_update_future_eval,tidal_updated_value,False,The default snapshot mode in Tidal Sync is `daily`.,1,0
superseded_update_eval,orchid_updated_value,True,The default command for pulling remote worktrees is now `orchid pull`.,1,0
superseded_update_eval,nova_updated_value,True,The default cache mode in Nova Build is now `shared_remote`.,1,1
superseded_update_eval,ruma_updated_value,True,The default retrieval top_k in RUMA Agent is now `4`.,1,0
superseded_update_eval,cinder_updated_value,True,The default retry backoff mode is now `jittered_exponential`. # Cinder Queue Manual v2 Cinder Queue remains the retry and queue manager used in the background job stack.,2,0
superseded_update_eval,helios_updated_value,True,The default publish target is now `staging_registry`. # Helios Packager Manual v2 Helios Packager is still the release packaging tool used in the delivery path.,2,0
superseded_update_eval,marlin_updated_value,True,The default healthcheck command is now `marlin health`. # Marlin Proxy Manual v2 Marlin Proxy remains the service-edge proxy used in the gateway layer.,2,0
superseded_update_eval,quartz_updated_value,True,The default schedule mode is now `adaptive`. # Quartz Scheduler Manual v2 Quartz Scheduler remains the orchestration scheduler used for batch planning.,2,0
superseded_update_eval,atlas_updated_value,True,The default alert mode in Atlas Monitor is now `adaptive_summary`.,1,0
superseded_update_eval,ember_updated_value,True,The default queue class in Ember Runner is now `priority_burst`.,1,0
superseded_update_eval,lumen_updated_value,True,The default eviction policy in Lumen Cache is now `segmented_lru`.,1,0
superseded_update_eval,sable_updated_value,True,The default rollout mode in Sable Deploy is now `canary_safe`.,1,0
superseded_update_eval,tidal_updated_value,True,The default snapshot mode in Tidal Sync is now `hourly_delta`.,1,0
retention_eval,orchid_retained_value,True,The main Orchid CLI config file remains `orchid.yml`.,1,0
retention_eval,nova_retained_value,True,The main manifest file for Nova Build remains `nova.json`.,1,0
retention_eval,ruma_retained_value,True,The answer mode in RUMA Agent remains `citation-first`.,1,0
retention_eval,cinder_retained_value,True,The main Cinder Queue config file remains `cinder.toml`.,1,0
retention_eval,helios_retained_value,True,The main Helios Packager manifest file remains `helios.yaml`.,1,0
retention_eval,marlin_retained_value,True,The main Marlin Proxy config file remains `proxy.ini`.,1,0
retention_eval,quartz_retained_value,True,The main Quartz Scheduler config file remains `quartz.yaml`.,1,0
retention_eval,atlas_retained_value,True,The main Atlas Monitor config file remains `atlas.toml`.,1,0
retention_eval,ember_retained_value,True,The main Ember Runner config file remains `ember.yml`.,1,0
retention_eval,lumen_retained_value,True,The main Lumen Cache config file remains `lumen.toml`.,1,0
retention_eval,sable_retained_value,True,The main Sable Deploy config file remains `sable.yaml`.,1,0
retention_eval,tidal_retained_value,True,The main Tidal Sync config file remains `tidal.json`.,1,0
naive_append_eval,orchid_updated_value,True,The default command for pulling remote worktrees is now `orchid pull`.,1,0
naive_append_eval,nova_updated_value,False,The default cache mode in Nova Build is `local`.,1,2
naive_append_eval,ruma_updated_value,False,The default retrieval top_k in RUMA Agent is `2`.,1,1
naive_append_eval,cinder_updated_value,False,The default retry backoff mode is `fixed_30s`. # Cinder Queue Manual v1 Cinder Queue is the retry and queue manager used in the background job stack.,2,1
naive_append_eval,helios_updated_value,False,The default publish target is `internal`. # Helios Packager Manual v1 Helios Packager is the release packaging tool used in the internal delivery path.,2,1
naive_append_eval,marlin_updated_value,False,The default healthcheck command is `marlin probe`. # Marlin Proxy Manual v1 Marlin Proxy is the service-edge proxy used in the gateway layer.,2,1
naive_append_eval,quartz_updated_value,False,The default schedule mode is `steady`. # Quartz Scheduler Manual v1 Quartz Scheduler is the orchestration scheduler used for batch planning.,2,1
naive_append_eval,atlas_updated_value,False,The default alert mode in Atlas Monitor is `summary`.,1,1
naive_append_eval,ember_updated_value,False,The default queue class in Ember Runner is `standard`.,1,1
naive_append_eval,lumen_updated_value,False,The default eviction policy in Lumen Cache is `lru`.,1,1
naive_append_eval,sable_updated_value,False,The default rollout mode in Sable Deploy is `linear`.,1,1
naive_append_eval,tidal_updated_value,False,The default snapshot mode in Tidal Sync is `daily`.,1,1
conflict_eval,ruma_conflicting_guidance,True,"# RUMA Operator Guide For large retrieval jobs, the default retrieval top_k in RUMA guidance is `6`. Operators should compare this guide with the main agent manual when deciding whether the large-job mode applies.",2,1
conflict_eval,marlin_conflicting_guidance,False,"# Marlin Edge Runbook For high-throughput edge traffic, the default Marlin healthcheck command is `marlin health --edge`. This runbook covers a narrower edge deployment context than the main Marlin Proxy manual.",2,0
conflict_eval,quartz_conflicting_guidance,True,"# Quartz Night Ops Runbook During overnight rebuild windows, the default Quartz scheduling mode is `burst_safe`. This runbook covers a narrower operating context than the main Quartz Scheduler manual.",2,1
conflict_eval,atlas_conflicting_guidance,True,"# Atlas Incident Runbook For live incident escalations, the default alert mode in Atlas Monitor guidance is `always_page`. Operators should compare this runbook with the main monitor manual when deciding whether incident escalation mode applies.",2,1
conflict_eval,sable_conflicting_guidance,True,"# Sable Release Runbook For regulated release windows, the default rollout mode in Sable Deploy guidance is `serial_guard`. Operators should compare this runbook with the main deploy manual when deciding whether regulated release mode applies.",2,1
conflict_eval,tidal_conflicting_guidance,True,"# Tidal Recovery Runbook For disaster-recovery restores, the default snapshot mode in Tidal Sync guidance is `full_mirror`. Operators should compare this runbook with the main sync manual when deciding whether disaster-recovery mode applies.",2,1
